,Unnamed: 0,Unnamed: 0.1,Cell_id,length,width_median,width_std,width_cv,width_max,sinuosity,area,eccentricity,solidity,touching_edge,convex_area,filled_area,eccentricity.1,solidity.1,major_axis_length,minor_axis_length,perimeter,equivalent_diameter,extent,circularity,aspect_ratio,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,aspect_ratio.1,bending_std,bending_90,bending_10,bending_max,bending_min,bending_skewness,bending_median,TRITC_mean,TRITC_median,TRITC_max,TRITC_min,TRITC_std,TRITC_cv_median,TRITC_cv_mean,TRITC_skewness,TRITC_kurtosis,FITC_mean,FITC_median,FITC_max,FITC_min,FITC_std,FITC_cv_median,FITC_cv_mean,FITC_skewness,FITC_kurtosis,CFP_mean,CFP_median,CFP_max,CFP_min,CFP_std,CFP_cv_median,CFP_cv_mean,CFP_skewness,CFP_kurtosis,DAPI_mean,DAPI_median,DAPI_max,DAPI_min,DAPI_std,DAPI_cv_median,DAPI_cv_mean,DAPI_skewness,DAPI_kurtosis,TRITC_FITC_pearsonr,TRITC_FITC_pearsonp,TRITC_CFP_pearsonr,TRITC_CFP_pearsonp,TRITC_DAPI_pearsonr,TRITC_DAPI_pearsonp,FITC_CFP_pearsonr,FITC_CFP_pearsonp,FITC_DAPI_pearsonr,FITC_DAPI_pearsonp,CFP_DAPI_pearsonr,CFP_DAPI_pearsonp,Strain,Replicate,Date,Well,Folder,Time,key
0,803,803,NDExp_WellE02_Point0011_Seq0179_Time0_Position0_Z0_712_0,2.668615761405666,0.5491369870141808,0.0508743234372796,0.0926441391498655,0.583209654142517,1.003,312.0,0.9775016187129124,0.9313432835820896,0.0,335.0,312.0,0.9775016187129124,0.9313432835820896,43.883923252546886,9.256344442770429,89.05382386916237,19.93114994066752,0.3482142857142857,0.703,0.211,0.394759153163016,0.8668574249209965,3.8134942705353865,4.7835030592102585,-9.099110501984509,-5.225846918538075,-9.642267613635,0.211,6.886673350177969,2.358298996195383,-16.5654621435858,5.14937603061144,-23.42326511439799,-1.2186641801573663,-1.739996532383101,1833.6892307692308,1799.0,3363,791,443.6392353194123,0.2466032436461435,0.2419380710074335,0.7658101263664011,1.2509769446944716,1241.04,889.0,2998,70,995.5209389753998,1.1198210787124856,0.8021666819565846,0.4575530957686413,-1.4029402649620186,1351.1661538461535,1335.0,2362,379,620.0035459642825,0.4644221318084512,0.4588655097668153,0.0336151474719765,-1.4798911799621266,2795.6953846153847,2722.0,4807,868,1316.8418967573978,0.4837773316522402,0.4710248133626908,0.0054276849693854,-1.495783465006929,0.537447263869494,0.0,-0.2423521435932163,1e-05,-0.2688869091802252,0.0,-0.8703620404945632,0.0,-0.8860340774833019,0.0,0.9943160398033372,0.0,WT,2,20211221,E02,20211221_JL_pulsechase_1,24 hours,WT_2_E02_24 hours
1,322,322,NDExp_WellE02_Point0004_Seq0172_Time0_Position0_Z0_609_0,1.959788860465269,0.6235620724189352,0.0669772457214951,0.1074107112731785,0.6557959979243302,1.003,258.0,0.9435843804005868,0.9314079422382672,0.0,277.0,258.0,0.9435843804005868,0.9314079422382672,31.73334129535656,10.507930310873029,70.04163056034261,18.12445316531431,0.6843501326259946,0.813,0.331,0.5675226462574234,1.326293193951311,4.060107614007526,5.04032294779066,-9.788589361615063,-5.811984195917018,-9.702077351716474,0.331,7.0183397124408735,3.154905461323656,-14.595126985720418,7.444384496051993,-21.76262549477613,-0.2965434036816763,-4.88064706672306,1248.4318181818182,1278.5,2268,615,310.77366052886845,0.2430767778872651,0.2489312239586064,0.5648487285744458,0.828330469635103,1166.4166666666667,941.5,2706,179,798.1852953937628,0.847780451825558,0.684305461507834,0.4256410797240662,-1.324388842281141,1007.814393939394,994.5,1671,331,401.3537409802917,0.4035733946508715,0.3982417232715447,0.0851363508027466,-1.3838641164138408,2053.2272727272725,2054.0,3499,556,934.7573100276552,0.4550911928080112,0.4552624653120014,0.0149216685161654,-1.5006266565417774,-0.1303740475018452,0.03423,0.441578390996327,0.0,0.3757621702368945,0.0,-0.7044898448138902,0.0,-0.6605971420665415,0.0,0.980848350079943,0.0,WT,2,20211221,E02,20211221_JL_pulsechase_1,24 hours,WT_2_E02_24 hours
2,385,385,NDExp_WellE02_Point0004_Seq0172_Time0_Position1_Z0_661_0,3.179804981156482,0.5714764912140528,0.063481767983521,0.1110837785271961,0.6100920214714779,1.025,403.0,0.9802143686650828,0.8241308793456033,0.0,489.0,403.0,0.9802143686650828,0.8241308793456033,53.338713767731605,10.557804084468046,110.32590180780451,22.65205369339104,0.3893719806763285,0.645,0.198,0.3386492587717619,0.7453956450583494,2.7792416287067465,3.6443780482000654,-7.67848447775774,-4.450899714932528,6.861166753214322,0.198,6.805802970904149,2.7176088355291443,-14.43379045714978,6.937208563214068,-28.55926398220532,-1.1418005517042034,-2.603881840157951,1396.5572139303483,1408.0,2041,713,296.8969752131963,0.2108643289866451,0.2125920601402612,-0.0596299631440999,-0.7497235428717444,1566.415422885572,1532.0,3429,148,978.6918236262022,0.6388327830458239,0.6247971063916781,0.2072567119523182,-1.3011239853624972,2153.2935323383085,2064.0,4021,663,869.0907460006924,0.4210710978685525,0.4036099737210132,0.3995540041993578,-0.7283040133065151,3630.226368159204,3557.5,6808,1281,1340.8756665832475,0.3769151557507372,0.3693642022833886,0.3584718872816136,-0.6465795930375218,0.2229958236539508,1e-05,0.1813279559505434,0.00026,0.2521863408298257,0.0,-0.7244605782526129,0.0,-0.6579334169204627,0.0,0.9551827808114378,0.0,WT,2,20211221,E02,20211221_JL_pulsechase_1,24 hours,WT_2_E02_24 hours
3,733,733,NDExp_WellE02_Point0010_Seq0178_Time0_Position0_Z0_511_0,2.3564763033388023,0.6298163512290837,0.0872703948467629,0.1385648287416722,0.7013882572032113,1.008,330.0,0.9562859358504688,0.9166666666666666,0.0,360.0,330.0,0.9562859358504688,0.9166666666666666,38.33832280488964,11.211400546425702,82.87005768508881,20.49802550887777,0.7051282051282052,0.777,0.292,0.519730990181059,1.18838433142323,4.149382066773282,4.435898163594765,8.730102449761153,5.039370663351546,9.800554940206087,0.292,6.864244993736298,1.893101842120552,-13.28300139851709,7.884427096432021,-25.49411292461606,-0.6015238870087671,-4.808980909912558,1751.1640866873065,1727.0,3872,617,587.0644457621631,0.3399330896132965,0.3352423968862441,0.8906550909252126,1.423191442286179,1815.325077399381,2022.0,3275,216,835.8373396848048,0.4133715824356107,0.4604339741079422,-0.4643890483890507,-0.9158303966459562,859.7430340557275,486.0,2175,231,601.2458213440437,1.23713131963795,0.6993320068064334,0.876917146063674,-0.7652065854558363,2174.609907120743,1359.0,5446,630,1360.6645376618203,1.0012248253582194,0.625705112998122,0.9535899333108752,-0.628983190797066,0.4944317265162211,0.0,-0.0566805338902348,0.30985,-0.125393622696747,0.02421,-0.3287633083029491,0.0,-0.4652836414482629,0.0,0.9730357057133336,0.0,WT,2,20211221,E02,20211221_JL_pulsechase_1,24 hours,WT_2_E02_24 hours
4,425,425,NDExp_WellE02_Point0005_Seq0173_Time0_Position1_Z0_199_0,2.264289850272496,0.6490848995029533,0.0884365556370029,0.1362480558471235,0.7051132875010123,1.002,307.0,0.9516690619784788,0.9388379204892966,0.0,327.0,307.0,0.9516690619784788,0.9388379204892966,35.83154464901855,11.004776616565785,78.66904755831214,19.77080019204319,0.4811912225705329,0.79,0.307,0.5435805809969901,1.251510790756918,4.199085554272327,4.748743149802546,9.264167863040472,5.510262120092049,9.602381050725665,0.307,6.423208861305403,1.7009311622675751,-15.014413344048966,7.086194173138871,-22.284675684241314,-0.7879496525689145,-2.744280410130985,2093.8227848101264,2149.5,3438,1217,426.95616113540905,0.1986304541220791,0.2039122719615101,0.1978691134340682,0.16384340452265,846.5221518987341,701.0,1929,49,543.7876157364019,0.7757312635326703,0.6423784829690469,0.4506331825161481,-1.153346916708376,2393.462025316456,2340.5,3607,1089,699.5686386649226,0.2988970897948825,0.2922831577294099,-0.0034495221369406,-1.307876551088873,4166.113924050633,4024.0,6344,2086,1185.670562687563,0.2946497422185792,0.2845986894027992,0.1912467172181214,-1.2342779691939794,0.0379732055716867,0.50121,0.3806690527517552,0.0,0.4577516995152604,0.0,-0.1802172734325747,0.00129,0.0887822967657305,0.11524,0.926156932493658,0.0,WT,2,20211221,E02,20211221_JL_pulsechase_1,24 hours,WT_2_E02_24 hours
5,330,330,NDExp_WellE02_Point0004_Seq0172_Time0_Position0_Z0_660_0,2.4227077986355545,0.613659900148963,0.0697183871670995,0.1136107918248784,0.644886145149118,1.012,313.0,0.9646000294700182,0.9046242774566474,0.0,346.0,313.0,0.9646000294700182,0.9046242774566474,39.46247654917463,10.4069354345194,85.01219330881975,19.963065333312567,0.4968253968253968,0.738,0.264,0.4780958607273332,1.0772022097153549,3.219275759020363,4.1485863303849655,-8.17642111465034,-4.868454768078171,7.882390403474664,0.264,6.617335570912749,2.32947536037708,-14.377138556266177,8.29632200151197,-22.374350144696106,-0.63135394787208,-3.1155847847243807,1493.788990825688,1476.0,2827,776,356.1058000036355,0.2412640921433845,0.2383909656522498,0.829129282779107,1.661635733010132,1067.755351681957,766.0,2749,181,778.5266497869845,1.0163533287036353,0.7291245588801107,0.6414493374797731,-1.0477971957751562,1800.1957186544344,1782.0,3008,541,728.6618279788887,0.4089011380352911,0.4047681151711275,0.086236029495838,-1.4318879543191434,3542.0183486238534,3573.0,5876,1187,1410.7659661631064,0.3948407405998059,0.3982943698502346,0.0093566298353205,-1.4376735841587172,0.0529258946372015,0.34005,0.1429320961210717,0.00965,0.0135309423719789,0.80742,-0.5946078908982315,0.0,-0.4700833010510063,0.0,0.955038322514048,0.0,WT,2,20211221,E02,20211221_JL_pulsechase_1,24 hours,WT_2_E02_24 hours
6,855,855,NDExp_WellE02_Point0011_Seq0179_Time0_Position1_Z0_406_0,2.0391464241229,0.5999084973788574,0.0729679112838823,0.1216317348440577,0.7272048507282902,1.004,286.0,0.9476099566635446,0.89937106918239,0.0,318.0,286.0,0.9476099566635446,0.89937106918239,34.4564443129651,11.006413654201776,76.52691193458118,19.08262324195121,0.5607843137254902,0.783,0.319,0.5437495643192937,1.265371734585594,3.3380958568620365,3.829871119822963,7.442669248511511,4.547966913610382,7.866673191371819,0.319,6.636423212125057,2.489923826260878,-14.611105608263072,7.068652913075669,-22.81665331498376,-0.4058970359854484,-4.850911895699389,2333.993055555556,2183.0,4291,1223,652.7573140631101,0.2990184672758177,0.2796740600874391,0.7465698853300203,0.1120000843301247,1227.7395833333333,999.5,2924,171,824.9835635331327,0.8253962616639647,0.6719532177119261,0.4298113733322793,-1.2656865278717235,1634.2152777777778,1545.5,2855,559,636.5163452906336,0.4118514042644022,0.3894935715912379,0.2865846067160028,-1.225520220452662,3187.340277777778,2942.0,5534,1219,1242.7025274421203,0.4224005871659144,0.3898869964108557,0.3273288849257896,-1.2700931927910564,0.1050493542622616,0.07509,0.2166137402599209,0.00021,0.0603295752040811,0.30758,-0.608268230345608,0.0,-0.6251385278603816,0.0,0.97744946314171,0.0,WT,2,20211221,E02,20211221_JL_pulsechase_1,24 hours,WT_2_E02_24 hours
7,137,137,NDExp_WellE02_Point0002_Seq0170_Time0_Position0_Z0_290_0,3.361290515963955,0.5850126263108658,0.0633528316295037,0.108293101345541,0.6497943472622728,1.053,414.0,0.9761490804328772,0.7666666666666667,0.0,540.0,414.0,0.9761490804328772,0.7666666666666667,55.19190143833628,11.982233336708497,114.91168824543142,22.959119571977435,0.4107142857142857,0.628,0.217,0.3173677758844148,0.7166746240652705,2.0040993031239,2.955617324235448,-5.46877482093681,-3.33849250043609,-5.859072874008788,0.217,7.236925236609195,3.508712583056153,-13.946238494188805,16.65374426885779,-27.25850642608105,-0.7071966605973607,-2.5087443904566724,1814.1914414414407,1902.5,2457,978,329.37119564610634,0.1731254642029468,0.181552612432351,-0.538782980393351,-0.6872247238521414,1137.9752252252251,1083.5,2637,140,738.9147001318184,0.6819701893233211,0.6493240658957002,0.3195919585647147,-1.2353282888955175,2074.637387387387,2066.5,3182,884,615.7542299207098,0.2979696249313863,0.2968008933340084,0.0162920928473339,-1.3133521664808776,3758.668918918919,3794.5,5844,1798,1096.338809186951,0.2889283987842801,0.2916827294015254,-0.0251764039692197,-1.2992497791952875,0.4586996333336424,0.0,0.1077397827242065,0.02318,0.041492757848356,0.38309,-0.6823747724257255,0.0,-0.7159312538915672,0.0,0.977027238088972,0.0,WT,2,20211221,E02,20211221_JL_pulsechase_1,24 hours,WT_2_E02_24 hours
8,674,674,NDExp_WellE02_Point0009_Seq0177_Time0_Position0_Z0_301_0,2.466468767088743,0.5891960619248291,0.0713204025729273,0.1210469777071023,0.6619295012553629,1.015,337.0,0.9638481464539194,0.9059139784946236,0.0,372.0,337.0,0.9638481464539194,0.9059139784946236,40.92748520682929,10.90521660699178,87.7401153701776,20.71428798138497,0.4255050505050505,0.742,0.266,0.4779316099506464,1.0794050601539849,3.0978271748633297,4.013209472544999,-8.087512952117224,-4.835406099085337,7.589616185921595,0.266,6.977933224407488,4.1433742439929135,-14.8165470313006,7.688852997595149,-21.15144051243803,-0.4115843933838851,-2.9388867058683714,1795.696319018405,1737.5,3635,732,517.5163698415105,0.2978511481102218,0.2881981570939592,0.8935880254684478,1.1829820157118949,1390.3650306748466,1203.5,2886,205,891.7580409295015,0.7409705367091828,0.6413841122691827,0.2778504943259919,-1.4877771525500834,1479.521472392638,1431.5,2661,400,662.0397911921597,0.4624797703053857,0.4474688631058044,0.1143244965105007,-1.4686430940397734,2601.340490797546,2560.5,4623,741,1216.48469362869,0.4750965411555126,0.4676376268051429,0.1099597481722777,-1.468173788763523,-0.3609434448298201,0.0,0.5894951390623558,0.0,0.5334667598308018,0.0,-0.4592976343781489,0.0,-0.3419485737163436,0.0,0.9813225317175168,0.0,WT,2,20211221,E02,20211221_JL_pulsechase_1,24 hours,WT_2_E02_24 hours
9,785,785,NDExp_WellE02_Point0010_Seq0178_Time0_Position1_Z0_531_0,3.065025510654291,0.6591280135621543,0.0635099466102872,0.0963544945799793,0.7012542704913456,1.011,401.0,0.9774784865992244,0.8550106609808102,0.0,469.0,401.0,0.9774784865992244,0.8550106609808102,50.56885267702554,10.671802259002575,105.9827560572969,22.595775212167435,0.3819047619047619,0.67,0.211,0.3805748217931405,0.838567478239497,3.0113933674242714,3.940061501631519,-7.6305922791081855,-4.47399555971451,-7.516764810528242,0.211,6.916163416776351,4.984325998453375,-13.48620588370033,14.869355132078558,-23.05013095473327,-0.274668704332115,-2.963216596408957,1647.1176470588234,1697.0,2324,836,331.7175795883771,0.1954729402406465,0.201392766436999,-0.2965867883749183,-0.8307565018065648,984.115468409586,773.0,2660,66,754.8676475490812,0.9765428816935072,0.7670519078101793,0.5099120499229516,-1.119550855981082,2239.2549019607845,2160.0,4528,581,1110.9090952070117,0.5143097662995424,0.4961065818073027,0.3201699790840265,-1.0580026671193783,4902.503267973856,4987.0,8563,1455,2128.197447689236,0.4267490370341358,0.4341042384595479,0.0625290170820945,-1.3011573850930322,0.3131235115576807,0.0,0.3142475579707611,0.0,0.3072581041661213,0.0,-0.6949261977464897,0.0,-0.6592488443384122,0.0,0.981889861039984,0.0,WT,2,20211221,E02,20211221_JL_pulsechase_1,24 hours,WT_2_E02_24 hours
